id,tested_positive
0,21.53126
1,5.2090697
2,7.449347
3,11.887163
4,4.9724436
5,29.096113
6,25.37588
7,7.574536
8,12.810234
9,11.430187
10,17.002771
11,21.195383
12,22.134787
13,16.425274
14,21.475603
15,19.39391
16,29.228146
17,11.281021
18,23.36208
19,5.0830345
20,6.558013
21,23.737997
22,17.470062
23,13.253407
24,14.751575
25,27.543308
26,27.590492
27,26.337189
28,9.640628
29,20.657137
30,10.093415
31,7.897259
32,27.598637
33,11.25263
34,20.466078
35,32.3585
36,12.308647
37,8.092848
38,16.41557
39,9.784366
40,15.756359
41,5.828304
42,9.069278
43,17.857277
44,7.332216
45,16.360832
46,14.344299
47,5.3414917
48,6.280597
49,17.190191
50,16.162054
51,15.398602
52,13.563444
53,8.785277
54,14.214273
55,30.80653
56,9.623669
57,16.085459
58,32.552124
59,9.969127
60,20.061365
61,22.020487
62,27.09178
63,22.579885
64,17.81133
65,6.535526
66,12.939762
67,24.858206
68,35.232883
69,19.066225
70,20.518543
71,16.69227
72,11.468458
73,25.806145
74,13.312817
75,7.9675593
76,20.683105
77,13.998871
78,7.776912
79,8.950451
80,17.502766
81,10.781446
82,12.146311
83,16.312931
84,12.342024
85,16.216867
86,23.9593
87,9.926292
88,6.9762816
89,16.916716
90,28.15413
91,36.788986
92,17.548113
93,4.9298716
94,11.251865
95,12.178263
96,10.128214
97,22.70372
98,13.052929
99,11.134748
100,9.414444
101,13.170288
102,14.55213
103,12.998877
104,10.955809
105,30.670458
106,28.422934
107,9.651353
108,20.123207
109,9.738256
110,14.467075
111,5.4618196
112,19.94101
113,24.794264
114,14.652388
115,10.624712
116,8.546497
117,28.975077
118,21.410078
119,10.996384
120,12.24291
121,24.269663
122,10.18153
123,20.752203
124,32.283646
125,14.442074
126,11.5291195
127,7.2245655
128,5.7227793
129,12.322388
130,16.92122
131,14.390972
132,11.918808
133,16.014288
134,23.197256
135,20.004194
136,22.31093
137,4.7126145
138,16.632507
139,34.36319
140,23.743435
141,18.751589
142,23.70606
143,25.967594
144,12.268732
145,36.165737
146,8.506262
147,12.811901
148,20.661665
149,16.587486
150,20.853304
151,9.038017
152,20.272314
153,6.6032567
154,33.675262
155,16.05009
156,16.622742
157,26.694258
158,17.823507
159,17.168072
160,17.8912
161,23.752022
162,11.223885
163,14.976156
164,15.201466
165,23.694132
166,27.972746
167,15.907854
168,29.259886
169,16.706032
170,11.690737
171,13.285301
172,25.687075
173,40.43473
174,20.988676
175,4.6356754
176,10.382057
177,34.563965
178,28.703846
179,22.978235
180,16.927912
181,23.529886
182,27.2796
183,9.584267
184,20.336601
185,8.491852
186,20.187944
187,6.428145
188,12.927477
189,26.01879
190,6.1732335
191,22.793634
192,24.216965
193,8.291759
194,12.525738
195,33.226604
196,10.986969
197,27.234324
198,12.205263
199,18.566248
200,24.941622
201,15.090776
202,22.632921
203,13.476143
204,26.190754
205,21.818079
206,14.593159
207,28.231394
208,16.01095
209,6.8520193
210,10.9423065
211,16.408205
212,30.231318
213,6.501486
214,11.83861
215,14.86838
216,8.3565445
217,15.096184
218,11.188671
219,10.382254
220,15.495823
221,8.539705
222,14.941982
223,14.13508
224,24.036736
225,21.16704
226,14.921062
227,6.9061394
228,10.263948
229,32.22333
230,15.855341
231,6.8508573
232,15.130171
233,20.28639
234,10.887518
235,35.204277
236,19.955294
237,21.39516
238,20.421291
239,31.949041
240,10.709339
241,27.325346
242,27.215172
243,29.24064
244,13.236639
245,12.04508
246,14.629026
